Contratto;Id Ticket;Iniziata il;Conclusa il;Azienda;Tipologia Attività;Linea di Contratto;Descrizione;Riferimento Progetto;Durata;Quantità Linea Contratto;Creato da;;
;41217;08/04/2025 14:00;08/04/2025 18:00;FGB STUDIO;Remoto;;Proseguita la lavorazione su FGB con modifiche complete alla visualizzazione dettagliata dei progetti suddivisi per area geografica (America, Europa, APAC, MEA). Ottimizzata anche la sezione relativa ai dettagli dei singoli store, con layout aggiornato e visualizzazione dati migliorata per garantire coerenza e chiarezza tra le varie viste.;;04:00;;Matteo Di Salvo;;
;42265;08/04/2025 14:00;08/04/2025 16:00;ITX ITALIA SRL;Remoto;;Presidio zara;;02:00;;Niccolò Ragusa;;
;42272;08/04/2025 14:00;08/04/2025 18:00;COMUNE DI LENTATE SUL SEVESO;On-Site;;Comune di Lentate - presidio;;04:00;;Matteo Signo;;
;42277;08/04/2025 14:00;08/04/2025 15:00;BAIT Service S.r.l.;On-Site;;Sistemazione inventario ufficio;;01:00;;Davide Cestone;;
;42155;08/04/2025 15:00;08/04/2025 16:30;GARIBALDINA SRL;Remoto;;Proseguimento installazione MDR sui dispositivi;S25-681 - Garibaldina Kaspersky MDR;01:30;;Davide Cestone;;
;42276;08/04/2025 15:00;08/04/2025 18:00;ITX ITALIA SRL;On-Site;;presidio zara;;03:00;;Arlind Hoxha;;
;42273;08/04/2025 16:00;08/04/2025 16:00;COMUNE DI LENTATE SUL SEVESO;On-Site;;Cambiato orari e giorni per eseguire il check;;;;;;
;42275;08/04/2025 17:00;08/04/2025 17:00;COMUNE DI LENTATE SUL SEVESO;On-Site;;Verificata PEC e comunicato di eliminarla;;00:00;;Matteo Signo;;
;42265;08/05/2025 08:00;08/05/2025 13:00;ITX ITALIA SRL;Remoto;;Presidio zara;;05:00;;Niccolò Ragusa;;
;41217;08/05/2025 09:00;08/05/2025 13:00;FGB STUDIO;Remoto;;Proseguito lo sviluppo del FGB con aggiornamento dell'implementazione delle tendine e dei dettagli dello store. Restano da completare le query sul database per i grafici.;;04:00;;Matteo Di Salvo;;
;42216;08/05/2025 09:00;08/05/2025 09:45;MAX MODA SPA;Remoto;;verifiche parziali di inventario effettuate in preparazione alla migrazione o sostituzione a win11;;00:45;;Davide Cestone;;
;42276;08/05/2025 09:00;08/05/2025 14:00;ITX ITALIA SRL;On-Site;;presidio zara;;05:00;;Arlind Hoxha;;
;42289;08/05/2025 09:45;08/05/2025 10:45;AMROP - G&P CONSULTANTS SRL;Remoto;;Rilevata password errata sulla VPN, malfunzionamento del firewall con memoria piena che ha richiesto il riavvio dello stesso e l'upgrade a nuova versione. Effettuati test e reset password con la cliente, problema risolto con successo.;;01:00;;Davide Cestone;;
76;42284;08/05/2025 10:00;08/05/2025 10:45;MAX MODA SPA;Remoto;"System Engineer Remote S1""""";"La porta POP3S non è utilizzata pertanto ho provveduto a bloccarla, era andata in Implicit-Deny"" come da regole sulla Local-IN del Firewall"; ma;" per sicurezza aggiuntiva ed evitare sovraccarichi sul firewall dati da potenziali attacchi DDoS su quella porta ho preferito bloccarla a monte.""";;00:45;;Marco Birocchi
;42252;08/05/2025 10:15;08/05/2025 10:30;ISOTERMA SRL;Remoto;;Mandata email a Gabriele per capire quando fare l'intervento, in attesa di risposta;;00:15;;Matteo Signo;;
;42289;08/05/2025 10:30;08/05/2025 11:00;AMROP - G&P CONSULTANTS SRL;Remoto;;Rilevata password errata sulla VPN, malfunzionamento del firewall con memoria piena che ha richiesto il riavvio dello stesso e l'upgrade a nuova versione. Effettuati test e reset password con la cliente, problema risolto con successo.;;00:30;;Matteo Signo;;
;42290;08/05/2025 10:45;08/05/2025 11:15;BERTOCCO AIR TRUCK TECHNOLOGY SRL;Remoto;;effettuate verifiche di connessione sul dispositivo e sulla saponetta utilizzata per la connessione, problema identificato nella saponetta, è stato consigliato di contattare il fornitore della SIM;;00:30;;Davide Cestone;;
;42295;08/05/2025 11:00;08/05/2025 11:15;SPOLIDORO STUDIO AVVOCATO;Remoto;;Configurazione SharePoint sul computer del Prof. Marco Spolidoro + istruzioni a Marianna;;00:15;;Matteo Signo;;
;42294;08/05/2025 12:30;08/05/2025 13:00;ASPEX ARL;Remoto;;Aperta segnalazione interna per valutare il cambio linea/router + riaperto ticket con Retelit, in attesa di risposta;;00:30;;Matteo Signo;;
;41217;08/05/2025 14:00;08/05/2025 18:00;FGB STUDIO;Remoto;;Proseguito lo sviluppo del FGB con aggiornamento dell'implementazione delle tendine e dei dettagli dello store. Restano da completare le query sul database per i grafici.;;04:00;;Matteo Di Salvo;;
;42216;08/05/2025 14:00;08/05/2025 16:30;MAX MODA SPA;Remoto;;Proseguo delle verifiche di compatibilità per upgrade o sostituzione a win11;;02:30;;Davide Cestone;;
;42265;08/05/2025 14:00;08/05/2025 16:00;ITX ITALIA SRL;Remoto;;Presidio zara;;02:00;;Niccolò Ragusa;;
;42282;08/05/2025 14:00;08/05/2025 15:00;AMROP - G&P CONSULTANTS SRL;Remoto;;Iniziato a creare nuova Area di lavoro + creazione pacchetti d'installazione, criteri e task;S25-704 - AMROP Installazione e configurazione 16 lic. Kaspersky MDR;01:00;;Matteo Signo;;
;42276;08/05/2025 15:00;08/05/2025 18:00;ITX ITALIA SRL;On-Site;;presidio zara;;03:00;;Arlind Hoxha;;
;42294;08/05/2025 15:30;08/05/2025 16:00;ASPEX ARL;Remoto;;Sentito Alessia e mi ha confermato che hanno un Router Aethra (proprietario di Retelit) che è stato spedito dalla filiale di Padova + scambio email con Retelit per capire modello e S/N;;00:30;;Matteo Signo;;
;42319;08/05/2025 16:00;08/05/2025 18:00;BAIT Service S.r.l.;On-Site;;problemi con l'aggiornamento all'ultima versione dell'Endpoint;;;;;;
;42155;08/05/2025 16:30;08/05/2025 18:00;GARIBALDINA SRL;Remoto;;tentata migrazione all'MDR con riscontrati problemi;S25-681 - Garibaldina Kaspersky MDR;01:30;;Davide Cestone;;
;42301;08/05/2025 17:30;08/05/2025 18:00;SPOLIDORO STUDIO AVVOCATO;Remoto;;Segnalata problematica internamente capendo se abbiamo a disposizione le batterie e quando abbiamo venduto l'UPS e se riusciamo a portare il materiale Venerdì quando saremo lì per sistemazione armadio CED;;00:30;;Matteo Signo;;
;42265;08/06/2025 08:00;08/06/2025 13:00;ITX ITALIA SRL;Remoto;;Presidio zara;;05:00;;Niccolò Ragusa;;
;41217;08/06/2025 09:00;08/06/2025 13:00;FGB STUDIO;Remoto;;Continuazione dello sviluppo FGB: Implementazione dei menu a tendina su tutti i pulsanti della landing page. Sistemazione grafica e funzionale della navbar e delle card per la visualizzazione dello store sulla mappa. Prosecuzione del lavoro sulla grafica e sulle funzionalità della pagina di dettaglio dello store (attualmente non ancora completata).;;04:00;;Matteo Di Salvo;;
;41950;08/06/2025 09:00;08/06/2025 09:30;WITTMANN BATTENFELD ITALIA S.r.l.;Remoto;;Cambiata password d'Administrator + disabilitata utenza + fatto test con Andrea, ok;P25-426 - Wittmann - Nuovo Server HPE - Scad. 15/06;00:30;;Matteo Signo;;
;42276;08/06/2025 09:00;08/06/2025 14:00;ITX ITALIA SRL;On-Site;;presidio zara;;05:00;;Arlind Hoxha;;
;42316;08/06/2025 09:00;08/06/2025 13:00;COMUNE DI LENTATE SUL SEVESO;Remoto;;Sistemazione permessi di tutte le cartelle all'interno del SERVERFILE;;;;;;
;42216;08/06/2025 10:45;08/06/2025 11:00;MAX MODA SPA;Remoto;;collegamento ai dispositivi per il recupero delle informazioni in merito alla compatibilità con win11;;00:15;;Davide Cestone;;
;42138;08/06/2025 11:00;08/06/2025 11:15;BE.CO Srl;On-Site;;Rilevamento del buono stato della stampante, usura tamburi e quantità residua toner;;00:15;;Davide Cestone;;
;42155;08/06/2025 11:45;08/06/2025 12:30;GARIBALDINA SRL;On-Site;;per problematiche sopraggiunte a causa dell'installazione corrotta del Kaspersky MDR da remoto si è resa necessaria l'installazione manuale in loco dello stesso. effettuata con successo su due dispositivi nell'ufficio di Lainate;S25-681 - Garibaldina Kaspersky MDR;00:45;;Davide Cestone;;
;41217;08/06/2025 14:00;08/06/2025 18:00;FGB STUDIO;Remoto;;Continuazione dello sviluppo FGB: Implementazione dei menu a tendina su tutti i pulsanti della landing page. Sistemazione grafica e funzionale della navbar e delle card per la visualizzazione dello store sulla mappa. Prosecuzione del lavoro sulla grafica e sulle funzionalità della pagina di dettaglio dello store (attualmente non ancora completata).;;04:00;;Matteo Di Salvo;;
;42265;08/06/2025 14:00;08/06/2025 16:00;ITX ITALIA SRL;Remoto;;Presidio zara;;02:00;;Niccolò Ragusa;;
;42312;08/06/2025 14:00;08/06/2025 15:00;WITTMANN BATTENFELD ITALIA S.r.l.;Remoto;;Rsiolto le varie problematiche richieste sul computer di Stefano + cambiata password per eseguire le scansioni su 3 stampanti + test funzionamento, ok + altre richieste di Andrea, ok;;01:00;;Matteo Signo;;
;42155;08/06/2025 14:30;08/06/2025 16:00;GARIBALDINA SRL;On-Site;;iper problematiche sopraggiunte a causa dell'installazione corrotta del Kaspersky MDR da remoto si è resa necessaria l'installazione manuale in loco dello stesso. Effettuata con successo su 5 dispositivi nello store di Saronno;S25-681 - Garibaldina Kaspersky MDR;01:30;;Davide Cestone;;
82;42314;08/06/2025 14:30;08/06/2025 15:00;ASPEX ARL;Remoto;"System Engineer Remote C""""";Effettuato verifiche su Server Fisico e VM, nessuna anomalia.Problematica da indagare successivamente e come da accordi con Alessia a Settembre su Network Interna Aspex.Seguiranno aggiornamenti;;00:30;;Marco Birocchi;;
;42276;08/06/2025 15:00;08/06/2025 18:00;ITX ITALIA SRL;On-Site;;presidio zara;;03:00;;Arlind Hoxha;;
;42294;08/06/2025 15:00;08/06/2025 15:30;ASPEX ARL;Remoto;;Parlato internamente e procederemo come sda email inviata a Alessia:Ciao Alessia,ti informo che anziché far collegare il Router di Retelit visto che tempo fa c’erano stati problemi in quanto in quella sede c’è ancora il centralino fisico, abbiamo concordato di consegnarvi un nuovo Router aggiornato, con il quale effettueremo una prova. Lo terremo monitorato un mesetto e vediamo se la situazione cambia in quanto la linea come ti avevo comunicato ieri non ha problematiche;;00:30;;Matteo Signo;;
;42155;08/06/2025 16:00;08/06/2025 17:15;GARIBALDINA SRL;On-Site;;per problematiche sopraggiunte a causa dell'installazione corrotta del Kaspersky MDR da remoto si è resa necessaria l'installazione manuale in loco dello stesso. Effettuata con successo su 5 dispositivi nell'ufficio di Lainate;S25-681 - Garibaldina Kaspersky MDR;01:15;;Davide Cestone;;
24;42310;08/06/2025 16:00;08/06/2025 16:15;ELECTRALINE 3PMARK SPA;Remoto;"Sys. Eng. remote C""""";Effettuato verifiche su Client Dario per probabile errato blocco KES su CNS Key, non è molto chiaro se viene bloccato solo da KES o da problemi anche su Firefox, ma successivamente allo sblocco, su altro browser ora funziona. Da verificare soluzione definitiva;;00:15;;Marco Birocchi;;
;42319;08/06/2025 17:00;08/06/2025 18:00;BAIT Service S.r.l.;On-Site;;problemi con l'aggiornamento all'ultima versione dell'Endpoint;;;;;;
;42276;08/07/2025 09:00;08/07/2025 14:00;ITX ITALIA SRL;On-Site;;presidio zara;;05:00;;Arlind Hoxha;;
;42286;08/07/2025 09:00;08/07/2025 09:15;SPOLIDORO STUDIO AVVOCATO;Remoto;;Mostrato alla cliente la procedura di utilizzo della VPN per la connessione in RDP al computer in ufficio.;;00:15;;Davide Cestone;;
;42278;08/07/2025 09:15;08/07/2025 09:45;VALENTINA BAGGIO;Remoto;;Effettuate le verifiche necessarie per la valutazione della compatibilità dell'hardware con l'upgrade a Windows11;;00:30;;Davide Cestone;;
;42309;08/07/2025 09:45;08/07/2025 10:10;ISOTERMA SRL;Remoto;;Controllo disponibilità licenze e creazione utenza dedicata;;00:25;;Davide Cestone;;
;42327;08/07/2025 10:10;08/07/2025 11:10;SPOLIDORO STUDIO AVVOCATO;Remoto;;Effettuate verifiche hardware sulla compatibilità dei dispositivi all'upgrade/sostituzione per Windows11;;01:00;;Davide Cestone;;
;42309;08/07/2025 11:15;08/07/2025 12:00;ISOTERMA SRL;Remoto;;Asegnazione licenza alla nuova utenza, configurazione iniziale del dispositivo (Accesso, configurazione MFA, impostazione applicazioni default, accesso alle applicazioni utilizzate dal cliente);;00:45;;Davide Cestone;;
;42322;08/07/2025 12:40;08/07/2025 12:40;COMUNE DI LENTATE SUL SEVESO;On-Site;;permessi/accessi modificati come da richiesta di Walter + fatto i test con lui e le altre utenze, ok;;00:00;;Matteo Signo;;
;42296;08/07/2025 12:41;08/07/2025 12:41;COMUNE DI LENTATE SUL SEVESO;On-Site;;risolto accessi/permessi come da indicazioni di Walter De Bortoli;;00:00;;Matteo Signo;;
;42299;08/07/2025 12:46;08/07/2025 12:46;COMUNE DI LENTATE SUL SEVESO;On-Site;;risolto problematiche relative agli accessi/permessi alle cartelle;;;;;;
;42276;08/07/2025 15:00;08/07/2025 18:00;ITX ITALIA SRL;On-Site;;presidio zara;;03:00;;Arlind Hoxha;;
